"scientific_name","title","extract","image_url","wikipedia_url","license","image_flag"
"Anthochaera carunculata","Red wattlebird","The red wattlebird is a passerine bird native to southern Australia. At 33–37 cm in length, it is the second largest species of Australian honeyeater, after the yellow wattlebird. It has mainly grey-brown plumage, with red eyes, distinctive pinkish-red wattles on either side of the neck, white streaks on the chest and a large bright yellow patch on the lower belly. The sexes are similar in plumage. Juveniles have less prominent wattles and browner eyes. John White described the red wattlebird in 1790. Three subspecies are recognized.","https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Red_wattlebird.jpg/330px-Red_wattlebird.jpg","https://en.wikipedia.org/wiki/Red_wattlebird","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Poodytes gramineus","Little grassbird","The little grassbird is a species of Old World warbler in the family Locustellidae. It is found in Australia and in West Papua, Indonesia. These sexually monomorphic birds are found in reed beds, rushes, lignum swamps and salt marshes of Southeastern Australia.","https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Little_Grassbird_-_Pitt_Town_Lagoon.jpg/330px-Little_Grassbird_-_Pitt_Town_Lagoon.jpg","https://en.wikipedia.org/wiki/Little_grassbird","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Cygnus atratus","Black swan","The black swan is a large waterbird, a species of swan which breeds mainly in the southeast and southwest regions of Australia. Within Australia, the black swan is nomadic, with erratic migration patterns dependent on climatic conditions. It is a large bird with black plumage and a red bill. It is a monogamous breeder, with both partners sharing incubation and cygnet-rearing duties.","https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Black_swan_%28Cygnus_atratus%29_Scottsdale.jpg/330px-Black_swan_%28Cygnus_atratus%29_Scottsdale.jpg","https://en.wikipedia.org/wiki/Black_swan","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Himantopus himantopus","Black-winged stilt","The black-winged stilt is a widely distributed, very long-legged wader in the avocet and stilt family Recurvirostridae. Its scientific name, Himantopus himantopus, is sometimes used to generalize a single, almost cosmopolitan species. Alternatively, it is restricted to the form that is widespread in Europe, Asia and Africa, which equals the nominate group of H. himantopus sensu lato. Meanwhile, the black-necked and white-backed stilts both inhabit the Americas; the pied stilt ranges from Australia and New Zealand. Today, most sources accept between one and four actual species.","https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Black-winged_stilt_%28Himantopus_himantopus%29.jpg/330px-Black-winged_stilt_%28Himantopus_himantopus%29.jpg","https://en.wikipedia.org/wiki/Black-winged_stilt","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Pelecanus conspicillatus","Australian pelican","The Australian pelican is a large waterbird in the family Pelecanidae, widespread on the inland and coastal waters of Australia and New Guinea, also in Fiji, parts of Indonesia and as a vagrant in New Zealand. It is a predominantly white bird with black wings and a pink bill. It has been recorded as having the longest bill of any living bird. It mainly eats fish, but will also consume birds and scavenge for scraps if the opportunity arises.","https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Pelecanus_conspicillatus_-_Doughboy_Head.jpg/330px-Pelecanus_conspicillatus_-_Doughboy_Head.jpg","https://en.wikipedia.org/wiki/Australian_pelican","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Malurus cyaneus","Superb fairywren","The superb fairywren is a passerine bird in the Australasian wren family, Maluridae, and is common and familiar across south-eastern Australia. It is a sedentary and territorial species, also exhibiting a high degree of sexual dimorphism; the male in breeding plumage has a striking bright blue forehead, ear coverts, mantle, and tail, with a black mask and black or dark blue throat. Non-breeding males, females and juveniles are predominantly grey-brown in colour; this gave the early impression that males were polygamous, as all dull-coloured birds were taken for females. Six subspecies groups are recognized: three larger and darker forms from Tasmania, Flinders and King Island respectively, and three smaller and paler forms from mainland Australia and Kangaroo Island.","https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Malurus_cyaneus_cyanochlamys_.jpg/330px-Malurus_cyaneus_cyanochlamys_.jpg","https://en.wikipedia.org/wiki/Superb_fairywren","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Columba livia","Rock dove","The rock dove, also known as the rock pigeon or common pigeon, is a member of the bird family Columbidae. In common usage, it is often simply referred to as the ""pigeon"", although the rock dove is the wild form of the bird; the pigeons familiar to most people are the domesticated forms of the wild rock dove.","https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Wild_rock_dove_at_Raikot%2C_Diamer%2C_Gilgit-Baltistan%2C_Pakistan.png/330px-Wild_rock_dove_at_Raikot%2C_Diamer%2C_Gilgit-Baltistan%2C_Pakistan.png","https://en.wikipedia.org/wiki/Rock_dove","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Grallina cyanoleuca","Magpie-lark","The magpie-lark, also known as wee magpie, peewee, peewit, mudlark or Murray magpie, is a passerine bird native to Australia, Timor, and southern New Guinea. The male and female both have black and white plumage, though with different patterns. John Latham described the species in 1801. Long thought to be a member of the mudnest builder family Corcoracidae, it has been reclassified in the family Monarchidae. Two subspecies are recognized.","https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Magpie-lark_%28Grallina_cyanoleuca_cyanoleuca%29_male_Adelaide.jpg/330px-Magpie-lark_%28Grallina_cyanoleuca_cyanoleuca%29_male_Adelaide.jpg","https://en.wikipedia.org/wiki/Magpie-lark","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Vanellus miles","Masked lapwing","The masked lapwing is a large, common and conspicuous bird native to Australia, New Zealand and New Guinea. It spends most of its time on the ground searching for food such as insects and worms, and has several distinctive calls. It is common in Australian fields and open land, and is known for its defensive swooping behaviour during the nesting season.","https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Masked_lapwing_%28Vanellus_miles_miles%29_Darwin.jpg/330px-Masked_lapwing_%28Vanellus_miles_miles%29_Darwin.jpg","https://en.wikipedia.org/wiki/Masked_lapwing","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Phalacrocorax carbo","Great cormorant","The great cormorant, also known as just cormorant in Britain, as black shag or kawau in New Zealand, formerly also known as the great black cormorant across the Northern Hemisphere, the black cormorant in Australia, and the large cormorant in India, is a widespread member of the cormorant family of seabirds. It breeds in much of the Old World, Australasia, and the Atlantic coast of North America.","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/2021-05-05_Phalacrocorax_carbo_carbo%2C_Killingworth_Lake%2C_Northumberland_1-1.jpg/330px-2021-05-05_Phalacrocorax_carbo_carbo%2C_Killingworth_Lake%2C_Northumberland_1-1.jpg","https://en.wikipedia.org/wiki/Great_cormorant","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Corvus mellori","Little raven","The little raven is a species of the family Corvidae that is native to southeastern Australia. An adult individual is about 48–50 cm (19–19.5 in) in length, with completely black plumage, beak, and legs; as with all Australian species of Corvus, the black feathers have a grey base, and the iris of the adult bird is white. Although the little raven was first named by Gregory Mathews in 1912, it was only in 1967 that there was consensus to separate it from the Australian raven as a distinct species.","https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Corvus_mellori.jpg/330px-Corvus_mellori.jpg","https://en.wikipedia.org/wiki/Little_raven","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Gallinula tenebrosa","Dusky moorhen","The dusky moorhen is a bird species in the rail family and is one of the eight extant species in the moorhen genus. It occurs in India, Australia, New Guinea, Borneo and Indonesia. It is often confused with the purple swamphen and the Eurasian coot due to similar appearance and overlapping distributions. They often live alongside birds in the same genus, such as the Tasmanian nativehen and the common moorhen.","https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Dusky_moorhen_%28Gallinula_tenebrosa_tenebrosa%29_Sydney.jpg/330px-Dusky_moorhen_%28Gallinula_tenebrosa_tenebrosa%29_Sydney.jpg","https://en.wikipedia.org/wiki/Dusky_moorhen","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Acridotheres tristis","Common myna","The common myna or Indian myna, sometimes spelled mynah, is a bird in the family Sturnidae, native to Asia. An omnivorous open woodland bird with a strong territorial instinct, the common myna has adapted extremely well to urban environments.","https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Acridotheres_tristis00.jpg/330px-Acridotheres_tristis00.jpg","https://en.wikipedia.org/wiki/Common_myna","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Rhipidura albiscapa","Grey fantail","The grey fantail is a small insectivorous bird. There is no sexual dimorphism. It is a common fantail found in Australia, the Solomon Islands, Vanuatu and New Caledonia. The species is considered by many to be conspecific with the New Zealand fantail ; however, differences in its calls lead some authorities to treat it as a separate species. The studies of grey fantail in 1999 by Richard Schodde and Ian Mason recommended that Tasmanian grey fantail was formally classified as R. albiscapa and New Zealand fantails populations as R. fuliginosa","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Grey_Fantail_-_Brunkerville.jpg/330px-Grey_Fantail_-_Brunkerville.jpg","https://en.wikipedia.org/wiki/Grey_fantail","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Passer domesticus","House sparrow","The house sparrow is a bird of the sparrow family Passeridae, found in most parts of the world. It is a small bird that has a typical length of 16 cm (6.3 in) and a mass of 24–39.5 g (0.85–1.39 oz). Females and young birds are coloured pale brown and grey, and males have brighter black, white, and brown markings. One of about 25 species in the genus Passer, the house sparrow is native to most of Europe, the Mediterranean Basin, and a large part of Asia. Its intentional or accidental introductions to many regions, including parts of Australasia, Africa, and the Americas, make it the most widely distributed wild bird.","https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/House_sparrow_male_in_Prospect_Park_%2853532%29.jpg/330px-House_sparrow_male_in_Prospect_Park_%2853532%29.jpg","https://en.wikipedia.org/wiki/House_sparrow","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Anas superciliosa","Pacific black duck","The Pacific black duck, commonly known as the PBD, is a dabbling duck found in much of Indonesia, New Guinea, Australia, New Zealand, and many islands in the southwestern Pacific, reaching to the Caroline Islands in the north and French Polynesia in the east. It is usually called the grey duck in New Zealand, where it is also known by its Māori name, pārera.","https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Pacific_black_duck_%28Anas_superciliosa%29_male_swimming_Sydney.jpg/330px-Pacific_black_duck_%28Anas_superciliosa%29_male_swimming_Sydney.jpg","https://en.wikipedia.org/wiki/Pacific_black_duck","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Zosterops lateralis","Silvereye","The silvereye or wax-eye, also known by its Māori name tauhou, is a very small omnivorous passerine bird of the south-west Pacific. In Australia and New Zealand its common name is sometimes white-eye, but this name is more commonly used to refer to all members of the genus Zosterops, or the entire family Zosteropidae.","https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Silvereye_Jan_2010.jpg/330px-Silvereye_Jan_2010.jpg","https://en.wikipedia.org/wiki/Silvereye","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Gymnorhina tibicen","Australian magpie","The Australian magpie is a black and white passerine bird native to Australia and southern New Guinea, and introduced to New Zealand, and the Fijian island of Taveuni. Although once considered to be three separate species, it is now considered to be one, with nine recognised subspecies. A member of the Artamidae, the Australian magpie is placed in its own genus Gymnorhina and is most closely related to the black butcherbird. It is not closely related to the Eurasian magpie, which is a corvid.","https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Cracticus_tibicen_hypoleuca_male_domain.jpg/330px-Cracticus_tibicen_hypoleuca_male_domain.jpg","https://en.wikipedia.org/wiki/Australian_magpie","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Ocyphaps lophotes","Crested pigeon","The crested pigeon is a bird found widely throughout mainland Australia except for the far northern tropical areas. Only two Australian pigeon species possess an erect crest, the crested pigeon and the spinifex pigeon. The crested pigeon is the larger of the two species. The crested pigeon is sometimes referred to as a topknot pigeon, a common name shared with the reddish crested Lopholaimus antarcticus of Eastern Australia.","https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Ocyphaps_lophotes_-_Lake_Parramatta_Reserve.jpg/330px-Ocyphaps_lophotes_-_Lake_Parramatta_Reserve.jpg","https://en.wikipedia.org/wiki/Crested_pigeon","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Psephotus haematonotus","Red-rumped parrot","The red-rumped parrot, also known as the red-backed parrot or grass parrot, is a medium-sized broad-tailed parrot endemic to open woodland in south-eastern Australia, particularly in the Murray-Darling Basin. It is a highly sexually dimorphic species, with the adult female mainly being a greyish olive-green with lighter underparts and the adult male predominantly being a brightly coloured green and gold with various shades of blue on the wings. Only the adult male possesses the red rump that gives the species its common name.","https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Psephotus_haematonotus_male_-_Cornwallis_Rd.jpg/330px-Psephotus_haematonotus_male_-_Cornwallis_Rd.jpg","https://en.wikipedia.org/wiki/Red-rumped_parrot","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Phylidonyris novaehollandiae","New Holland honeyeater","The New Holland honeyeater is a honeyeater species found throughout southern Australia. It was among the first birds to be scientifically described in Australia, and was initially named Certhia novaehollandiae.","https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/New_Holland_honeyeater_%28%29.jpg/330px-New_Holland_honeyeater_%28%29.jpg","https://en.wikipedia.org/wiki/New_Holland_honeyeater","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Turdus merula","Common blackbird","The common blackbird is a species of true thrush. It is also called the Eurasian blackbird, or simply the blackbird. It breeds in Europe, western Asia, and North Africa, and has been introduced to Australia and New Zealand. It has a number of subspecies across its large range; a few former Asian subspecies are now widely treated as separate species. Depending on latitude, the common blackbird may be resident, partially migratory, or fully migratory.","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Common_Blackbird.jpg/330px-Common_Blackbird.jpg","https://en.wikipedia.org/wiki/Common_blackbird","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Anthochaera lunulata","Western wattlebird","The western wattlebird is a passerine bird in the honeyeater family, Meliphagidae. It is restricted to south-western Australia.","https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Birds_of_Australia_Gould_vol_4_plate_57.jpg/330px-Birds_of_Australia_Gould_vol_4_plate_57.jpg","https://en.wikipedia.org/wiki/Western_wattlebird","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Pardalotus punctatus","Spotted pardalote","The spotted pardalote is a small passerine bird native to eastern and southern Australia, at elevations of up to 2,000 metres (6,600 ft). It is part of the pardalote family, Pardalotidae. One of the smallest of all Australian birds at 8 to 10 centimetres in length, and one of the most colourful; it is sometimes known as the diamondbird. Although moderately common in all of the reasonably fertile parts of Australia it is seldom seen closely enough to enable identification.","https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Pardalotus_punctatus_2_-_Glen_Davis.jpg/330px-Pardalotus_punctatus_2_-_Glen_Davis.jpg","https://en.wikipedia.org/wiki/Spotted_pardalote","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Anas castanea","Chestnut teal","The chestnut teal is a dabbling duck found in Australia. It is protected under the National Parks and Wildlife Act 1974.","https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Male_chestnut_teal.jpg/330px-Male_chestnut_teal.jpg","https://en.wikipedia.org/wiki/Chestnut_teal","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Phalacrocorax sulcirostris","Little black cormorant","The little black cormorant is a member of the cormorant family of seabirds. It is common in smaller rivers and lakes throughout most areas of Australia and northern New Zealand, where it is known as the little black shag. It is around sixty centimetres long, and is all black with blue-green eyes.","https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Little_Black_Cormorant_%2832295396655%29.jpg/330px-Little_Black_Cormorant_%2832295396655%29.jpg","https://en.wikipedia.org/wiki/Little_black_cormorant","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Ardea alba","Great egret","The great egret, also known as the common egret, large egret, great white egret, or great white heron, is a large, widely distributed egret. The four subspecies are found in Asia, Africa, the Americas, and southern Europe. Recently, it has also been spreading to more northern areas of Europe. Distributed across most of the tropical and warmer temperate regions of the world, it builds tree nests in colonies close to water.","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Great_Egret_%28Ardea_alba%29_in_Breeding_Plumage%2C_Cape_May_County%2C_New_Jersey%2C_USA_%28cropped%29.png/330px-Great_Egret_%28Ardea_alba%29_in_Breeding_Plumage%2C_Cape_May_County%2C_New_Jersey%2C_USA_%28cropped%29.png","https://en.wikipedia.org/wiki/Great_egret","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Chenonetta jubata","Australian wood duck","The Australian wood duck, maned duck or maned goose is a dabbling duck found throughout much of Australia. It is the only living species in the genus Chenonetta. Traditionally placed in the subfamily Anatinae, it might belong to the subfamily Tadorninae (shelducks); the ringed teal may be its closest living relative.","https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Chenonetta_jubata_female_2.jpg/330px-Chenonetta_jubata_female_2.jpg","https://en.wikipedia.org/wiki/Australian_wood_duck","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Rhipidura leucophrys","Willie wagtail","The willie wagtail is a passerine bird native to Australia, New Guinea, the Solomon Islands, the Bismarck Archipelago, and Eastern Indonesia. It is a common and familiar bird throughout much of its range, living in most habitats apart from thick forest. Measuring 19–21.5 cm in length, the willie wagtail is contrastingly coloured with almost entirely black upperparts and white underparts; the male and female have similar plumage.","https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Rhipidura_leucophrys_-_Glen_Davis.jpg/330px-Rhipidura_leucophrys_-_Glen_Davis.jpg","https://en.wikipedia.org/wiki/Willie_wagtail","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Egretta novaehollandiae","White-faced heron","The white-faced heron also known as the white-fronted heron, and incorrectly as the grey heron, or blue crane, is a common bird throughout most of Australasia, including New Guinea, the islands of Torres Strait, Indonesia, New Zealand, and all but the driest areas of Australia.","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/White-faced-Heron444.jpg/330px-White-faced-Heron444.jpg","https://en.wikipedia.org/wiki/White-faced_heron","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Anas gracilis","Grey teal","The grey teal is a dabbling duck found in open wetlands in Australia and New Zealand.","https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/GreyTeal.Pair.OscarThomas.jpg/330px-GreyTeal.Pair.OscarThomas.jpg","https://en.wikipedia.org/wiki/Grey_teal","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Chloris chloris","European greenfinch","The European greenfinch or simply the greenfinch is a small passerine bird in the finch family Fringillidae.","https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Chloris_chloris_%28profile%29.jpg/330px-Chloris_chloris_%28profile%29.jpg","https://en.wikipedia.org/wiki/European_greenfinch","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Todiramphus sanctus","Sacred kingfisher","The sacred kingfisher is a medium-sized woodland kingfisher that occurs in mangroves, woodlands, forests and river valleys in Australia, New Zealand and other parts of the western Pacific.","https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Sacred_kingfisher_nov08.jpg/330px-Sacred_kingfisher_nov08.jpg","https://en.wikipedia.org/wiki/Sacred_kingfisher","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Passer montanus","Eurasian tree sparrow","The Eurasian tree sparrow is a passerine bird in the sparrow family with a rich chestnut crown and nape and a black patch on each pure white cheek. The sexes are similarly plumaged, and young birds are a duller version of the adult. This sparrow breeds over most of temperate Eurasia and Southeast Asia, where it is known as the tree sparrow, and it has been introduced elsewhere including the United States, where it is known as the Eurasian tree sparrow or German sparrow to differentiate it from the native American tree sparrow. Although several subspecies are recognised, the appearance of this bird varies little across its extensive range.","https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Tree_Sparrow_August_2007_Osaka_Japan.jpg/330px-Tree_Sparrow_August_2007_Osaka_Japan.jpg","https://en.wikipedia.org/wiki/Eurasian_tree_sparrow","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Nycticorax caledonicus","Nankeen night heron","The nankeen night heron is a heron that belongs to the genus Nycticorax and the family Ardeidae. Due to its distinctive reddish-brown colour, it is also commonly referred to as the rufous night heron. It is primarily nocturnal and is observed in a broad range of habitats, including forests, meadows, shores, reefs, marshes, grasslands, and swamps. The species is 55 to 65 cm in length, with rich cinnamon upperparts and white underparts. The nankeen night heron has a stable population size, and is classified as a species of least concern by the International Union for Conservation of Nature (IUCN).","https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Nycticorax_caledonicus_-_Sydney_Olympic_Park.jpg/330px-Nycticorax_caledonicus_-_Sydney_Olympic_Park.jpg","https://en.wikipedia.org/wiki/Nankeen_night_heron","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Manorina melanophrys","Bell miner","The bell miner, commonly known as the bellbird, is a colonial honeyeater, endemic to southeastern Australia. The common name refers to their bell-like call. 'Miner' is an old alternative spelling of 'myna', and is shared with other members of the genus Manorina. The birds feed almost exclusively on the dome-like coverings, referred to as 'bell lerps', of certain psyllid bugs that feed on eucalyptus sap from the leaves. The psyllids make these bell lerps from their own honeydew secretions in order to protect themselves from predators and the environment.","https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Bell_Miner_1_-_Nepean_Weir.jpg/330px-Bell_Miner_1_-_Nepean_Weir.jpg","https://en.wikipedia.org/wiki/Bell_miner","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
